symbol,baseMean,log2FoldChange,pvalue,padj
MPO,3.080509775060551,1.0591656181039466,0.021151653328499845,0.7953033571371038
CYP27A1,13.754341689588966,-0.4644711666658328,0.03472861965063122,0.8078676477033679
S100A8,431.31440780078253,0.5242109622957296,0.05250163373571017,0.8078676477033679
PADI4,42.34478900520492,-0.32442512043693134,0.16638375762152602,0.8953701965269255
S100A9,1605.8348455325918,0.010456443947084592,0.9471301224996861,0.996954886490659
