ensembl_id,symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000269028,MTRNR2L12,4539.279829501297,0.6039733923386148,0.13938561096380236,4.333111489502766,1.4701661032626686e-05,0.13429967353304478
ENSG00000237441,RGL2,32.09590824413936,-0.550261138224567,0.13336758959097098,-4.125898502868496,3.692901194387155e-05,0.16194490380024384
ENSG00000185070,FLRT2,3.969649962898342,-2.0399726247621888,0.5047968073307136,-4.041175766442034,5.318387645328205e-05,0.16194490380024384
ENSG00000075292,ZNF638,81.5362518344991,0.33647424856609487,0.08564467470314492,3.9287235281394484,8.539795017033486e-05,0.19502756870150226
ENSG00000101079,NDRG3,22.97624224935433,-0.5680554228539688,0.14818778160493343,-3.833348584489892,0.00012641062272554792,0.23095220771957603
ENSG00000288920,RPSAP58,8.751390235739162,0.9105018905532882,0.2465062811081879,3.6936255192364964,0.00022107930595245226,0.33659324331260854
ENSG00000102753,KPNA3,45.62061064970693,0.3868242274704402,0.10629884145923704,3.6390258083741926,0.00027367137447736125,0.35567815106790807
ENSG00000116984,MTR,35.924664257133216,0.4153210672900723,0.11562434792056557,3.5919862447604864,0.0003281671753682932,0.35567815106790807
ENSG00000204427,ABHD16A,43.374687410943224,-0.40969298959381484,0.11460408054077525,-3.5748551679889724,0.0003504218237122247,0.35567815106790807
ENSG00000196417,ZNF765,6.472055539626796,-0.9861013302773162,0.2965049405555239,-3.325750081701109,0.0008818095569277669,0.7018415078914525
ENSG00000182472,CAPN12,48.71260438292807,-0.44263107548004904,0.13558470612886925,-3.2646091739826564,0.0010961521054627225,0.7018415078914525
ENSG00000134215,VAV3,22.151503800707637,0.4955467806722882,0.15309598578996947,3.2368371914866723,0.001208623445880426,0.7018415078914525
ENSG00000162585,FAAP20,22.73207778384607,-0.5110121016080476,0.15840821385491316,-3.2259192195430346,0.0012556879223236616,0.7018415078914525
ENSG00000168488,ATXN2L,22.01296329582913,0.507672203585747,0.15798975744277982,3.213323520479573,0.0013120840426163371,0.7018415078914525
ENSG00000172932,ANKRD13D,30.691688493720264,-0.4038571956998864,0.12568994651158352,-3.213122504294065,0.0013130027322174715,0.7018415078914525
ENSG00000143409,MINDY1,40.942160699415446,-0.43019006651832026,0.13434265758215294,-3.202185175287688,0.0013638929268746922,0.7018415078914525
ENSG00000175216,CKAP5,19.152408055552588,0.4791595579224775,0.14967180007974315,3.20140171807373,0.0013676072063075273,0.7018415078914525
ENSG00000265590,CFAP298-TCP10L,17.289958706844114,0.6981563563552476,0.22082000463702964,3.1616535716627405,0.001568760735379136,0.7018415078914525
ENSG00000106692,FKTN,11.692772232083875,0.5910604502934536,0.18766353265818636,3.1495754232124655,0.0016350789674969884,0.7018415078914525
ENSG00000198792,TMEM184B,14.540778919505572,-0.5908370244333404,0.18966221059388919,-3.11520688588018,0.0018381593578629884,0.7018415078914525
ENSG00000182087,TMEM259,73.13582003679196,-0.30342554267581007,0.09752379457734334,-3.111297545289544,0.001862671497628703,0.7018415078914525
ENSG00000204231,RXRB,30.32248928133451,-0.3681690847297445,0.1194004526181265,-3.0834814831669393,0.0020459384198537834,0.7018415078914525
ENSG00000125944,HNRNPR,95.21462731327009,0.29764672746269955,0.09671315057241042,3.077624146261759,0.00208657904914725,0.7018415078914525
ENSG00000132485,ZRANB2,67.586890833048,0.36601370494495694,0.11944887940540867,3.0641870126107165,0.00218262424322365,0.7018415078914525
ENSG00000162377,COA7,4.150876953825329,-0.9010848659768409,0.2948914336210169,-3.055649514508721,0.0022457360230960614,0.7018415078914525
ENSG00000118482,PHF3,210.32868243796005,0.19726251063254402,0.06480700674111213,3.0438454196867735,0.002335751246224381,0.7018415078914525
ENSG00000130706,ADRM1,41.295296498105394,-0.30631959336677306,0.10111084232428103,-3.0295424934187563,0.0024492444619208876,0.7018415078914525
ENSG00000085662,AKR1B1,24.511069413811253,0.47336774732920295,0.1565490631829848,3.0237660814098883,0.002496493859981198,0.7018415078914525
ENSG00000102882,MAPK3,42.0169973413085,-0.3898720304240669,0.1292670236671724,-3.0160207867698867,0.002561157014747505,0.7018415078914525
ENSG00000178726,THBD,8.5342421364001,0.8209797915706352,0.2727596708184744,3.0099016805054344,0.0026133226986373844,0.7018415078914525
ENSG00000064687,ABCA7,27.99097122502288,-0.4380429938783697,0.1457180947213489,-3.006098828810673,0.002646229759187039,0.7018415078914525
ENSG00000068400,GRIPAP1,62.13015597217467,-0.2786531870851179,0.09283506706560786,-3.0015940731554562,0.002685700419167228,0.7018415078914525
ENSG00000105699,LSR,30.51988014563326,0.5358476100600723,0.17903390734540436,2.9929951147537586,0.0027625417119312577,0.7018415078914525
ENSG00000152270,PDE3B,30.43272220353203,0.43809274314638935,0.14648016733696037,2.9907990351936764,0.0027824854502051847,0.7018415078914525
ENSG00000175073,VCPIP1,25.53996526419874,0.4333862950200443,0.14617049235757493,2.9649369584105743,0.003027449618131107,0.7018415078914525
ENSG00000102096,PIM2,116.20862062870472,-0.39341244974610734,0.13326877802518536,-2.9520226385790043,0.003156997842453466,0.7018415078914525
ENSG00000167106,FAM102A,53.81339663761533,-0.39895603440777366,0.13687301250725506,-2.9147896075322133,0.0035592840074242637,0.7018415078914525
ENSG00000155846,PPARGC1B,8.537959488323896,0.6928324291064718,0.2377896433076695,2.9136358483453164,0.0035724636300921413,0.7018415078914525
ENSG00000155368,DBI,24.627593595524395,0.5418622455954486,0.18609036262645656,2.9118232559046655,0.0035932589163152526,0.7018415078914525
ENSG00000142327,RNPEPL1,48.0644687403766,-0.28907288871465275,0.09931281957919745,-2.910730859716759,0.0036058447373464404,0.7018415078914525
ENSG00000080189,SLC35C2,27.394118303921903,-0.4058372393917951,0.13997956388626906,-2.8992606357991706,0.0037404382220868736,0.7018415078914525
ENSG00000177200,CHD9,74.52565071373536,0.2729796124135413,0.09439783169390985,2.891799605087251,0.003830421808807932,0.7018415078914525
ENSG00000151353,TMEM18,22.409558314892244,0.44768076144358415,0.1548617437791309,2.890841537223562,0.003842117964571832,0.7018415078914525
ENSG00000150712,MTMR12,16.75434985708541,0.47623663754800194,0.16477043164705885,2.890303999252179,0.0038486944644711115,0.7018415078914525
ENSG00000129355,CDKN2D,120.08284180104404,-0.358092345386541,0.1243093647758482,-2.8806546154607493,0.003968502527670719,0.7018415078914525
ENSG00000089682,RBM41,29.155137691220098,0.4027226746140231,0.1398857138898968,2.878940696767675,0.003990133580884045,0.7018415078914525
ENSG00000099624,ATP5F1D,17.328930369995685,-0.4839947885755871,0.16829218418858768,-2.875919585387424,0.00402852328711464,0.7018415078914525
ENSG00000144134,RABL2A,9.049034544466943,-0.6863609027058094,0.23866089240436394,-2.875883416805908,0.004028984910803443,0.7018415078914525
ENSG00000152193,OBI1,6.456061339631085,0.7573993968932268,0.26412944042248554,2.867531145644864,0.0041368808387858644,0.7018415078914525
ENSG00000177700,POLR2L,45.49980433650115,0.31664723614896584,0.11094173940395387,2.8541758751051347,0.004314863657030593,0.7018415078914525
ENSG00000162413,KLHL21,31.88938287496724,-0.42414891743766836,0.14866780111249314,-2.8529978533598253,0.004330891411728736,0.7018415078914525
