Name,Term,ES,NES,nominal_p,fdr,fwer_p,Tag %,Gene %,leading_edge
prerank,p53 Pathway,-0.27867329272017893,-1.2902552728373409,0.06239168110918544,0.2607735588662019,0.854,47/138,23.85%,CD82;BAK1;PPM1D;MKNK2;RXRA;IP6K2;BLCAP;CEBPA;SLC35D1;ZFP36L1;TSPYL2;NOTCH1;DDB2;ABAT;HDAC3;RPS12;AK1;DEF6;FOS;DGKA;RPL18;IFI30;MXD1;TRAFD1;ELP1;RCHY1;LDHB;KLF4;PRKAB1;IER5;FUCA1;NDRG1;CCND3;BAIAP2;ACVR1B;DDIT3;PLXNB2;AEN;BTG2;PMM1;POM121;MAPKAPK3;S100A4;SOCS1;TPRKB;SEC61A1;WRAP73
prerank,G2-M Checkpoint,0.27878860661483257,1.3328110255096446,0.0365296803652968,0.3024870952604411,0.667,29/136,13.11%,CASP8AP2;KIF5B;LIG3;PURA;CUL5;MTF2;MCM2;SFPQ;MARCKS;NASP;KIF20B;BUB3;NCL;ABL1;SLC38A1;SYNCRIP;SMC4;TENT4A;ATRX;PDS5B;TNPO2;ARID4A;ILF3;WRN;CUL3;NSD2;NOLC1;SMARCC1;BRCA2
prerank,Reactive Oxygen Species Pathway,-0.31564328757209464,-1.2321132777848314,0.16296296296296298,0.3036868153255853,0.938,22/46,29.15%,CDKN2D;HMOX2;ERCC2;SBNO2;GPX4;PRDX1;JUNB;LAMTOR5;CAT;FES;GSR;FTL;SOD2;TXNRD2;PDLIM1;LSP1;GCLC;ATOX1;PRDX2;MSRA;PTPA;GCLM
prerank,DNA Repair,-0.26799684235566884,-1.2373042521757267,0.08880994671403197,0.31799263406892836,0.935,44/123,28.30%,ADRM1;RPA2;CANT1;TAF13;SURF1;ERCC2;ITPA;POLR2H;GPX4;SAC3D1;TK2;ELL;RAE1;DDB2;NELFB;AK1;BCAP31;DGUOK;VPS37B;POLR2C;AK3;HCLS1;POLR2D;POLR2J;SRSF6;SDCBP;SUPT5H;CETN2;RPA3;POM121;DAD1;ERCC1;NME3;AGO4;NT5C;SEC61A1;BRF2;GTF2B;NUDT21;LIG1;POLR1D;SUPT4H1;POLR3C;EDF1
prerank,Myogenesis,-0.29447737539379804,-1.1993880264616985,0.1791907514450867,0.3329894900739587,0.976,24/66,26.02%,AKT2;SPARC;MYLK;CFD;NOTCH1;AK1;PDLIM7;SPTAN1;CLU;SVIL;GABARAPL2;MEF2D;IGFBP7;SLC6A8;IFRD1;MYL4;ACSL1;ATP6AP1;PLXNB2;MYH9;LSP1;CRAT;RIT1;OCEL1
prerank,Xenobiotic Metabolism,-0.27299403886127044,-1.208261668440842,0.12614259597806216,0.33332814324639937,0.97,24/101,16.65%,AHCY;CYB5A;DHRS7;PDK4;CYP27A1;CSAD;PTGES3;SHMT2;SPINT2;TNFRSF1A;SLC35D1;PINK1;ALDH9A1;SSR3;TMBIM6;CAT;MARCHF6;PGD;SMOX;RAP1GAP;SLC35B1;MAN1A1;FAH;GSR
prerank,Estrogen Response Early,-0.26659396822040826,-1.1886950355313881,0.1503623188405797,0.3349987406406704,0.981,38/98,28.52%,MINDY1;FAM102A;AQP3;CANT1;NADSYN1;RRP12;SLC16A1;GLA;PPIF;OPN3;FLNB;ABAT;SLC9A3R1;FOS;MYBBP1A;RAB31;SVIL;GAB2;DHRS3;NXT1;KLF4;MYB;UNC119;MED13L;TMEM164;BCL11B;RETREG1;RARA;TIAM1;XBP1;CISH;SIAH2;ARL3;IGF1R;KAZN;MICB;ITPK1;MYOF
prerank,E2F Targets,0.2621657129177806,1.2533999110070257,0.06787330316742081,0.359784138901924,0.857,43/133,24.19%,SMC3;RAD50;PNN;DEK;MCM2;LUC7L3;ANP32E;NASP;USP1;ASF1A;RFC2;HMGB2;SYNCRIP;SMC4;SMC6;PSIP1;PDS5B;NBN;CCP110;ILF3;POLE4;SNRPB;NOLC1;MCM4;DCTPP1;HELLS;BRCA2;PRKDC;TMPO;NUP153;HUS1;ORC2;EZH2;SRSF2;CNOT9;TRA2B;TIMELESS;CTCF;LYAR;STAG1;CDK4;TFRC;POLA2
prerank,KRAS Signaling Up,-0.2590776507689111,-1.154391756230733,0.1967509025270758,0.38622031919034644,0.991,29/98,22.15%,AKT2;ITGB2;KCNN4;IL1B;PLVAP;ADAM8;IL10RA;CSF2RA;BPGM;SCN1B;TLR8;ST6GAL1;CBL;STRN;LAPTM5;KLF4;DCBLD2;RBM4;TMEM158;FUCA1;MMP9;ANKH;ADAM17;F13A1;PTBP2;PSMB8;GYPC;ERO1A;EVI5
prerank,Hypoxia,-0.2490967361250188,-1.1432325625733055,0.18904593639575973,0.39067423326709144,0.993,39/117,26.00%,TPI1;PGM1;GALK1;PRKCA;SLC2A3;PDK1;FOSL2;HEXA;PAM;MIF;HDLBP;MT1E;PDK3;ENO2;FOS;ALDOC;HK1;KLF6;PLIN2;NDST1;IRS2;NDRG1;ADM;CDKN1C;IDS;HK2;SLC25A1;DDIT3;PFKFB3;ERO1A;MYH9;S100A4;ATP7A;SIAH2;CHST2;HSPA5;FBP1;NDST2;MXI1
